new;question;answer;answers
Lorsque j'avais six ans j'ai vu une fois une magnifique image dans un livre sur la Forét Vierge qui s'appelait "Histoires Vécues";Lorsque j'avais six ans j'ai vu une fois une magnifique image dans un livre sur <mask> Forét Vierge qui s'appelait "Histoires Vécues";la;"['le', 'lui', 'la', 'un', 'de la', 'du']"
Ca représentait un serpent boa qui avalait un fauve;Ca représentait un serpent boa qui avalait <mask> fauve;un;"['un', 'de', 'une', 'la', 'le']"
Voilà  la copie du dessin;Voilà la copie du <mask>;dessin;"['image', 'compte', 'dessin', 'arbre']"
Les grandes personnes ne comprennent jamais rien toutes seules et c'est fatigant pour les enfants de toujours et toujours leur donner des explications;Les grandes personnes ne comprennent jamais rien toutes seules et c'est fatigant pour les enfants de <mask> et toujours leur donner des explications;toujours;"['toujours', 'jamais', 'pas mal', 'très', 'au fur et à mésure']"
J'ai donc du choisir un autre métier et j'ai appris à piloter des avions;J'ai donc du choisir un autre <mask> et j'ai appris à piloter des avions;métier;"['copain', 'métier', 'pays', 'chemin']"
J'ai volé un peu partout dans le monde;J'ai <mask> un peu partout dans le monde;volé;"['marché', 'fait', 'vu', 'eu', 'volé']"
Et la géographie -c'est exact- m'a beaucoup servi;Et la <mask> -c'est exact- m'a beaucoup servi;géographie;"['rose', 'terre', 'géographie', 'vie']"
Je savais reconnaitre du premier coup d'oeil la Chine de l'Arizona;Je savais reconnaitre du premier <mask> d'oeil la Chine de l'Arizona;coup;"['coup', 'vu', 'tour', 'souffle', 'coeur']"
C'est très utile si l'on est égaré pendant la nuit;C'est très utile <mask> l'on est égaré pendant la nuit;si;"['si', 'lorsque', 'de', 'quand', 'pour', 'dés']"
J'ai ainsi eu au cours de ma vie des tas de contacts avec des tas de gens sérieux;J'ai ainsi eu au cours de ma vie des tas de contacts avec des tas <mask> gens sérieux;de;"['de', 'des', 'les', 'pour', 'par'']"
J'ai beaucoup vécu chez les grandes personnes;J'ai beaucoup vécu chez les grandes <mask>;personnes;"['marques', 'entreprises', 'maisons', 'personnes']"
Je les ai vues de très près;Je les ai vues de <mask> près;très;"['trop', 'loin', 'plus', 'peu', 'très']"
Cela n'a pas trop amélioré mon opinion;<mask> n'a pas trop amlior mon opinion;Cela;"['Il', 'Cela', 'On', 'Elle']"
Quand j'en rencontrais une qui me paraissait un peu lucide je faisais l'expérience sur elle de mon dessin numéro 1 que j'ai toujours conservé;Quand j'en <mask> une qui me paraissait un peu lucide je faisais l'expérience sur elle de mon dessin numéro 1 que j'ai toujours conservé;"['connais', 'recevais', 'retrouvais', 'rencontrais']"
Je voulais savoir si elle était vraiment comprhensive;Je voulais savoir si elle était vraiment <mask>;compréhensive;"['trop', 'gentil', 'compréhensive', 'taille']"
Mais toujours elle me répondait C'est un chapeau;Mais toujours elle me répondait C'est un <mask>;chapeau;"['chapeau', 'manteau', 'basket', 'rose']"
Alors je ne lui parlais ni de serpents boas ni de forts vierges ni d'toiles;Alors je ne lui parlais ni de serpents boas <mask> de forts vierges ni d'toiles;ni;"['ni', 'de', 'en', 'ou', 'si']"
Je me mettais à sa porte;Je <mask> mettais à sa porte;me;"['lui', 'se', 'le', 'me', 'un']"
Je lui parlais de bridge de golf de politique et de cravates;Je lui parlais de bridge de golf <mask> politique et de cravates;de;"['de', 'un', 'une', 'la', 'aussi']"
J'ai montré mon chef d'oeuvre aux grandes personnes et je leur ai demandé si mon dessin leur faisait peur;J'ai montré mon chef d'oeuvre aux grandes personnes et je <mask> ai demandé si mon dessin leur faisait peur;leur;"['lui', 'elles', 'ils', 'leur', 'vous']"
"Dans le club VIP, nous organisons 2 chats vidéo par semaine sur notre groupe Telegram","Dans le club VIP, nous organisons 2 chats vidéo par semaine sur <mask> groupe Telegram",notre,"['leur', 'groupe', 'notre', 'votre']"
"Durant ces chats, nous faisons différentes activités de pratique orale en français en groupe  discussions, jeux, quiz, etc","Durant ces chats, nous faisons différentes activités de <mask> orale en français en groupe discussions, jeux, quiz, etc",pratique,"['communication', 'langue', 'compréhension', 'pratique']"
"Donc vous pourrez trouver des amis qui viennent du monde entier, qui apprennent le français comme vous et qui sont tous là pour progresser","Donc vous pourrez trouver des amis qui viennent du monde entier, <mask> apprennent le français comme vous et qui sont tous là pour progresser",qui,"['en', 'qui', 'que', 'on']"
" Vous pourrez vous entraider, découvrir différentes cultures, vous amuser","Vous pourrez vous entraider, découvrir différentes cultures, <mask> amuser",vous,"['vous', 'nous', 'ils', 'elle', 'je']"
Donc vous pouvez pratiquer pour progresser en français d'une manière agréable,Donc vous pouvez pratiquer <mask> progresser en français d'une manière agréable,pour,['pour', 'par', 'car', 'de']
Une autre vidéo que je vous partage,<mask> autre vidéo que je vous partage,Une,"['Une', 'Voici', 'Et', 'Voi', 'un', 'une', 'aussi']"
 Un peu d'humour avec des mots d'argots  courants et très utilisés,Un peu d'humour avec des <mask> d'argots courants et très utilisés,mots,"['mots', 'termes', 'exemple', 'nom', 'noms']"
Une vidéo de 3 minutes avec les soustitres,Une <mask> de 3 minutes avec les soustitres,vidéo,"['vidéo', 'durée', 'présentation', 'partager']"
"Topito font souvent ce genre de petits sketchs, super utiles pour votre apprentissage si vous les aimez et surtout si vous voulez vivre en France et bien comprendre les natifs","Topito font souvent ce genre de petits sketchs, super <mask> pour votre apprentissage si vous les aimez et surtout si vous voulez vivre en France et bien comprendre les natifs",utiles,"['pour,', 'sympa', 'bien', 'utiles']"
"Alors, si besoin, prenez le temps de chercher les mots sur Wordreference ou Reverso","Alors, si besoin, prenez le temps de chercher les <mask> sur Wordreference ou Reverso",mots,"['mots', 'liens', 'informations', 'correct', 'différence']"
"Deux jours après les tremblements de terre qui ont touché le sud de la Turquie et le nord de la Syrie, les équipes de Médecins Sans Frontières, déjà opérationnelles dans la région, continuent d’apporter leur aide aux populations ainsi qu'un soutien aux structures de santé locales","Deux jours après les tremblements de terre qui ont touché le sud de la Turquie et <mask> nord de la Syrie, les équipes de Médecins Sans Frontières, déjà opérationnelles dans la région, continuent d’apporter leur aide aux populations ainsi qu'un soutien aux structures de santé locales",le,"['le', 'la', 'du', 'de', 'nord']"
" Selon les dernières données disponibles, ces séismes ont tué plus de 5 800 personnes en Turquie et au moins 1 800 en Syrie","Selon les dernières données disponibles, ces séismes ont tué <mask> de 5 800 personnes en Turquie et au moins 1 800 en Syrie",plus,"['plus', 'près', 'au', 'de', 'pas']"
 Plus de 20 000 blessés ont été recensés,Plus de <mask> 000 blessés ont été recensés,20,"['10', '20', '100', 'un', 'de', 'aussi']"
 Un deuxième membre du personnel MSF a malheureusement été retrouvé mort sous les décombres de son foyer,Un deuxième membre du personnel MSF a malheureusement été retrouvé mort <mask> les décombres de son foyer,sous,"['dans', 'sous', 'les', 'sur']"
"Les tremblements de terre, ressentis jusqu’à Chypre, ont causé d’importantes destructions dans le nordouest de la Syrie","Les tremblements de <mask> ressentis jusqu’à Chypre, ont causé d’importantes destructions dans le nordouest de la Syrie","terre,","['terre', 'magnitude', 'grande', 'planète']"
" Dans cette région densément peuplée, une grande partie de la population est composée de personnes déplacées par la guerre, qui vivaient déjà dans des conditions précaires","Dans cette région densément peuplée, une grande partie de la population est composée de personnes déplacées par la guerre, qui vivaient déjà <mask> des conditions précaires",dans,"['dans', 'des', 'en', 'depuis', 'dans', 'un']"
"Les équipes MSF travaillent dans cette région depuis de nombreuses années, dans des hôpitaux généralistes ou spécialisés gérés par l’association, mais également à travers des cliniques mobiles, qui se rendent dans une centaine de camps de personnes déplacées, ou en soutien à des dizaines de structures de santé existantes","Les équipes MSF travaillent <mask> cette région depuis de nombreuses années, dans des hôpitaux généralistes ou spécialisés gérés par l’association, mais également à travers des cliniques mobiles, qui se rendent dans une centaine de camps de personnes déplacées, ou en soutien à des dizaines de structures de santé existantes",dans,['dans', 'sur', 'sous', 'pour']
 Les conséquences des tremblements de terre viennent s’ajouter à une situation humanitaire déjà alarmante,Les conséquences des tremblements de terre <mask> s’ajouter à une situation humanitaire déjà alarmante,viennent,"['peuvent', 'pourraient', 'viennent']"
"De nombreux hôpitaux ont été endommagés, et certains ne sont plus en mesure de continuer à prendre en charge des patients, comme c'est le cas notamment à Jandaris, dans le gouvernorat d’Alep","De nombreux hôpitaux ont été endommagés, et certains ne sont plus en mesure de continuer à prendre en charge <mask> patients, comme c'est le cas notamment à Jandaris, dans le gouvernorat d’Alep",des,"['les', 'des', 'ces', 'patients', 'leurs']"
" Deux maternités soutenues par MSF ont été évacuées, en raison du risque d'effondrement des bâtiments","Deux maternités soutenues par MSF ont <mask> évacuées, en raison du risque d'effondrement des bâtiments",été,"['été', 'dû,""', 'le', 'un', 'également']"
" Au cours des premières heures suivant la catastrophe, les équipes MSF ont pris en charge plus de 200 blessés","Au cours des premières heures suivant la catastrophe, les équipes MSF ont pris en charge plus de 200 <mask>",blessés,"['personnes', 'bless', 'patients', 'enfants', 'blessés']"
 Les structures de santé soutenues par MSF dans les gouvernorats d'Alep et d'Idlib ont reçu 3 465 blessés,Les structures de santé soutenues par MSF dans les <mask> d'Alep et d'Idlib ont reçu 3 465 blessés,gouvernorats,"['provinces', 'maitres', 'gouvernorats', 'locataires']"
"MSF a mis en place une réponse immédiate, basée sur son plan de réponse aux urgences, en soutenant les hôpitaux des villes d'Idlib et d'Alep avec des donations de kits d'urgence, de traumatologie, et de chirurgie","MSF a mis en place une réponse immédiate, basée sur son plan de réponse aux urgences, en soutenant les hôpitaux des villes d'Idlib et d'Alep avec des <mask> de kits d'urgence, de traumatologie, et de chirurgie",donations,"['équipes', 'milliers', 'livraison', 'un', 'aussi', 'donations']"
 Du personnel encadrant a également été envoyé sur place,Du <mask> encadrant a également été envoyé sur place,personnel,"['personnel', 'un', 'le', 'aussi']"
" La capacité d’accueil et de prise en charge de nos hôpitaux, comme celui d’Atmeh, d’ordinaire spécialisé dans la prise en charge des personnes brûlées, a été augmenté avec notamment l’installation de salles médicales sous tente","La capacité d’accueil et de prise en charge de nos hôpitaux, comme celui d’Atmeh, d’ordinaire spécialisé dans la prise en charge des personnes brûlées, a été augmenté avec notamment l’installation de salles médicales sous <mask>",tente,"['tente', 'les', 'terre', 'un', 'le', 'aussi']"
 L’association a aussi fourni des articles et des kits médicaux d'urgence à plus de 23 structures de santé du nord d'Idlib et a commencé à mener des activités de premiers secours psychologiques dans son réseau d’intervention,L’association a aussi fourni des articles et des kits médicaux d'urgence à plus de 23 structures de santé <mask> nord d'Idlib et a commencé à mener des activités de premiers secours psychologiques dans son réseau d’intervention,du,"['dans', 'au', 'du', 'publique', 'de']"
"De plus, l’association a ouvert une clinique mobile dans le centre d'accueil de Kelly, dans le gouvernorat d'Idlib, et met en place un soutien aux ambulances pour faciliter le transfert des patients ayant besoin d'une aide d'urgence","De plus, l’association a ouvert une clinique mobile dans le centre d'accueil de Kelly, dans le gouvernorat d'Idlib, <mask> met en place un soutien aux ambulances pour faciliter le transfert des patients ayant besoin d'une aide d'urgence",et,"['de', 'puis', 'en', 'et']"
" Offrir une aide immédiate aux victimes des tremblements de terre, en particulier à celles qui ne peuvent pas se mettre à l’abri des intempéries et du froid, est une priorité des équipes MSF","Offrir une <mask> immédiate aux victimes des tremblements de terre, en particulier à celles qui ne peuvent pas se mettre à l’abri des intempéries et du froid, est une priorité des équipes MSF",aide,"['aide', 'assistance', 'réponse', 'solution', 'protection']"
" Les populations du nordouest de la Syrie ont besoin d'abris, de nourriture, de couvertures, de vêtements, de matériel de chauffage, de kits d'hygiène et d'une assistance médicale","Les populations du nordouest <mask> la Syrie ont besoin d'abris, de nourriture, de couvertures, de vêtements, de matériel de chauffage, de kits d'hygiène et d'une assistance médicale",de,"['de', 'la', 'et-', 'du']"
" Elles manquent également de carburants, d’électricité et d’un accès adapté à l’eau et à l’assainissement","Elles manquent également de carburants, d’électricité <mask> d’un accès adapté à l’eau et à l’assainissement",et,"['et', 'des', 'etc', 'surtout']"
"Par ailleurs, l’approvisionnement à long terme de cette région enclavée est l’un des enjeux clés de l’intervention de MSF","Par ailleurs, l’approvisionnement à long terme de cette région enclavée est l’un des enjeux clés de l’intervention de <mask>",MSF,['MSF']
" Les équipes de l’association utilisent pour l’instant leurs stocks d’urgence à disposition dans la région, mais il sera bientôt nécessaire de renouveler les stocks par de nouvelles livraisons","Les équipes de <mask> utilisent pour l’instant leurs stocks d’urgence à disposition dans la région, mais il sera bientôt nécessaire de renouveler les stocks par de nouvelles livraisons",l’association,"['un', 'l’association']"
" Or, le seul point d’accès au nordouest de la Syrie, depuis la Turquie, est le postefrontière de Bab alHawa et les routes qui y mènent ont été endommagées","Or, le <mask> point d’accès au nordouest de la Syrie, depuis la Turquie, est le postefrontière de Bab alHawa et les routes qui y mènent ont été endommagées",seul,"['point', 'principal', 'plus', 'seul', 'premier']"
 Le maintien de cet accès est crucial pour la continuité et la qualité de la réponse humanitaire apportée dans la région,Le maintien de cet accès <mask> crucial pour la continuité et la qualité de la réponse humanitaire apportée dans la région,est,"['crucial', 'est', 'vital', 'aux', 'est,']"
"La question de l’accès aux soins de santé mentale, en plus des soins médicaux d’urgence, est un autre enjeu important  de nombreuses personnes du nordouest syrien ont vécu la perte d’un proche ou la destruction de leur habitation","La question de l’accès aux soins de santé mentale, en plus des soins médicaux d’urgence, est un autre enjeu important de nombreuses personnes du nordouest syrien ont vécu la perte d’un proche ou la destruction de leur <mask>",habitation,['habitation']
" Cette partie de la Syrie était déjà dans une situation humanitaire désastreuse en raison de nombreuses années de guerre, de la situation économique, de la pandémie de Covid19 et, plus récemment, d'une épidémie de choléra","Cette partie de la Syrie était déjà dans une situation humanitaire désastreuse en raison de nombreuses années de guerre, de la situation économique, de la pandémie de <mask> et, plus récemment, d'une épidémie de choléra",Covid19,"['maladie', 'un', 'Covid19']"
" Avec un système de santé extrêmement fragile, ces séismes rendent la situation encore plus difficile","Avec un système de santé extrêmement fragile, ces séismes rendent la situation encore plus <mask>",difficile,['difficile']
"En Turquie, les autorités réquisitionnent des écoles pour de futurs abris et leurs équipes mobiles sont déployées pour que les gens puissent donner leur sang","En Turquie, les autorités réquisitionnent des écoles pour de futurs abris et leurs équipes mobiles <mask> déployées pour que les gens puissent donner leur sang",sont,"['sont', 'ont', 'seront', 'mobile', 'dép']"
" Le niveau d'alerte 4 a été déclaré, en plus d'un état d'urgence de trois mois dans les 10 provinces les plus durement touchées","Le niveau d'alerte 4 a été <mask>, en plus d'un état d'urgence de trois mois dans les 10 provinces les plus durement touchées",déclaré,"['déclaré', 'arrivé', 'annoncé', 'dit']"
" Avec le Croissant bleu international IBC, les équipes d'urgence de MSF évaluent les besoins dans les zones les plus affectées du sud de la Turquie","Avec le Croissant bleu international IBC, les <mask> d'urgence de MSF évaluent les besoins dans les zones les plus affectées du sud de la Turquie",équipes,"['équipes', 'médecin', 'services', 'bénévole', 'volontaire']"
" Hatay, Gaziantep et Diyarbakir semblent avoir été particulièrement touchées par le tremblement de terre","Hatay, Gaziantep et Diyarbakir semblent avoir été particulièrement touchées par le tremblement de <mask>",terre,"['terre', 'magnitude', 'cette', 'elle']"
" En raison des effondrements d'immeubles, la ville de Hatay est désormais fermée","<mask> raison des effondrements d'immeubles, la ville de Hatay est désormais fermée",En,"['En', 'en', 'Et', 'La', 'un', 'le']"
 L'assistance sera fournie dans la périphérie de la ville,L'assistance sera fournie dans la <mask> de la ville,périphérie,"['campagne','montagne', 'benlieu', 'périphérie']"
"MSF est prête à fournir une assistance en Turquie et à mobiliser ses capacités d'urgence, même si l’association ne travaillait pas dans le pays avant les tremblements de terre","MSF est prête à fournir une assistance en Turquie et à mobiliser ses capacités d'urgence, même <mask> l’association ne travaillait pas dans le pays avant les tremblements de terre",si,"['si', 'que', 'lorsque', 'un,', 'une']"
 Des discussions sont en cours avec les autorités et les partenaires locaux concernant le cadre de notre accompagnement,Des discussions sont en cours avec les autorités et les partenaires locaux concernant le <mask> de notre accompagnement,cadre,"['financement', 'programme', 'projet', 'développement', 'un', 'le', 'cadre']"
"En septembre 2018, Mama Cax avait beaucoup fait parler d'elle en défilant en maillot de bain lors de la Fashion Week de New York avec une prothèse et des béquilles","En septembre 2018, Mama Cax avait beaucoup fait parler d'elle en <mask> en maillot de bain lors de la Fashion Week de New York avec une prothèse et des béquilles",défilant,"['bikini', 'maitour', 'juillet', 'unival', 'défilant']"
" Cacsmy Brutus, de son vrai nom, s'est battue contre un cancer à l'âge de 14 ans, puis a été amputée de la jambe droite à l'âge de 16 ans en raison d'une tumeur osseuse maligne","Cacsmy Brutus, de son vrai nom, s'est battue contre un cancer à l'âge <mask> 14 ans, puis a été amputée de la jambe droite à l'âge de 16 ans en raison d'une tumeur osseuse maligne",de,"['de', '14', 'adult', 'un', 'de', 'également']"
 Elle n'a toutefois jamais renoncé à son rêve de devenir mannequin,Elle n'a toutefois <mask> renoncé à son rêve de devenir mannequin,jamais,"['jamais', 'toujours', 'plus', 'un', 'le']"
"Mama Cax a alors d'abord tenu un blog, où elle partageait son histoire, mais aussi son amour pour la mode à travers des tenues toujours soignées","Mama Cax a alors d'abord tenu un blog, où elle partageait son histoire, mais aussi son amour pour la mode à travers des <mask> toujours soignées",tenues,"['photos', 'blogs', 'articles', 'vêtements', 'tenues']"
" C'est ainsi qu'elle s'est fait connaître du grand public, avant, quelques années plus tard, de taper dans l'œil de la créatrice Becca McCharen, qui la fera défiler lors de la Fashion Week de New York en 2018, puis de Rihanna, qui en fera, un temps, le visage de sa marque de lingerie Savage X Fenty","C'est ainsi qu'elle s'est fait connaître du grand public, avant, quelques années plus tard, de taper <mask> l'œil de la créatrice Becca McCharen, qui la fera défiler lors de la Fashion Week de New York en 2018, puis de Rihanna, qui en fera, un temps, le visage de sa marque de lingerie Savage X Fenty",dans,"['sur', 'dans', 'la', 'sa', 'dans', 'un']"
"Née en Haïti, la jeune mannequin a aussi collaboré avec Asos et Sephora, ce qui lui a donné une certaine notoriété dont elle s'est servie pour faire passer des messages d'acception de son corps tel qu'il est","Née en Haïti, la jeune mannequin a aussi collaboré avec Asos et Sephora, ce qui lui a donné une certaine notoriété dont elle s'est servie <mask> faire passer des messages d'acception de son corps tel qu'il est",pour,"['pour', 'afin', 'de', 'aussi', 'comme']"
" Mama Cax militait, en outre, pour l'inclusion des personnes en situation de handicap","Mama Cax militait, en outre, pour l'inclusion <mask> personnes en situation de handicap",des,"['des', 'de', 'personnes']"
"Emportée par le cancer en 2019, Mama Cax aura ainsi bouleversé les codes de la mode, mais aussi le cœur des personnes qui l'ont fréquentée","Emportée par le cancer en 2019, Mama Cax aura ainsi bouleversé les codes de la mode, mais aussi <mask> cœur des personnes qui l'ont fréquentée",le,"['le', 'dans', 'la', 'les', 'boule']"
" Au moment de son décès, Rihanna l'avait ainsi décrite comme « une reine","Au moment de son décès, Rihanna l'avait ainsi décrite comme « une <mask>",reine,"['rain', 'seule', 'reine', 'soleil']"
" Une beauté puissante qui a apporté sa force sur la scène de Savage X Fenty cette année, inspirant tellement de personnes à travers le monde »","<mask> beauté puissante qui a apporté sa force sur la scène de Savage X Fenty cette année, inspirant tellement de personnes à travers le monde »",Une,"['Une', 'Un', 'La', 'Les']"
